Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62,2018
Aruba,ABW,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,246424581.006,305195530.726,413575418.994,458826815.642,566480446.927,1351452513.97,1640391061.45,1758435754.19,1921005586.59,1992346368.72,2505586592.18,2544413407.82,2056871508.38,1250340782.12,1815620111.73,2018206703.91,1448782122.91,1766139664.8,4687899441.34,5724017205.22,6026262570.8,6677821229.05,7059664804.47,3490111731.84,1824636871.51,6861117318.44,3151005586.59,2162036796.65,2299628836.31,2437130635.75,2346070251.96,6677821229.05,,
Afghanistan,AFG,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,568800000.0,740800000.0,722700000.0,756800000.0,778500000.0,821100000.0,668200000.0,526300000.0,574300000.0,523400000.0,260500000.0,,,,,,,,,,,,,,,,,,,2525359557.92,2207492864.15,2479619695.53,3200232418.62,1973519938.8,1545693956.52,2753074673.45,1316243759.54,1081519056.37,,,
Angola,AGO,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,2430000000.0,1462000000.0,2415000000.0,2620000000.0,3164000000.0,3992400000.0,3620600000.0,3975659000.0,3006300000.0,3166800000.0,3835758000.0,5362659000.0,5145300000.0,3664700000.0,5309510000.0,8187990000.0,6736820000.0,8534680110.0,9709260555.5,13797769756.0,24286236864.6,33346469287.8,44706905586.8,64243391219.7,41451146946.8,51451730498.7,68042543017.5,71873279931.5,69562221910.1,60851231669.6,34437293543.5,28299767212.9,44706905586.8,,
Albania,ALB,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,378100000.0,430000000.0,373100000.0,354000000.0,334500000.0,318500000.0,327300000.0,333500000.0,374200000.0,433900000.0,353600000.0,82200000.0,90300000.0,189200000.0,220400000.0,303700000.0,372900000.0,99380000.0,137130000.0,389500000.0,554500000.0,658200000.0,667180000.0,846770660.905,1249817713.79,1460772256.9,1869570000.0,2464390000.0,3278700000.0,3059100000.0,3325670000.0,3776520000.0,3557580000.0,3676660000.0,3733340000.0,3105180000.0,3439970000.0,2464390000.0,,
Andorra,AND,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,1.3357719522e+11,1.30538537569e+11,2.04122448311e+11,3.06413520584e+11,3.13404040171e+11,2.33988113842e+11,1.83441199666e+11,1.69993294653e+11,1.50802839893e+11,1.0954162277e+11,1.23730444505e+11,1.26171847195e+11,1.49745416642e+11,1.93369136878e+11,1.85280754488e+11,2.04859499093e+11,1.94027405533e+11,2.00865926816e+11,2.2666691522e+11,2.56757065984e+11,2.59309718379e+11,1.97574415383e+11,2.40435707741e+11,3.28475863968e+11,3.04311653234e+11,3.16487954862e+11,3.96634099353e+11,5.12636740877e+11,7.04770233521e+11,8.42039705122e+11,9.692773978e+11,1.28270175613e+12,8.65076489485e+11,1.06762305157e+12,1.36716947185e+12,1.51770562615e+12,1.46604803308e+12,1.38825394546e+12,8.99954016372e+11,7.83661512911e+11,9.692773978e+11,,
United Arab Emirates,ARE,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,4632000000.0,6602000000.0,7488000000.0,9179000000.0,9897000000.0,10859000000.0,9197000000.0,9290000000.0,9611000000.0,10047000000.0,8449000000.0,8154000000.0,11149000000.0,11766000000.0,14800000000.0,14386000000.0,15366200000.0,16286160000.0,19355700000.0,24956432000.0,28424754642.5,31003771471.4,31255969562.6,27997318724.7,31236920314.8,31116753076.8,29054500000.0,34336010000.0,39757250000.0,46892210000.0,54528515092.9,66122298496.2,81583621071.8,66335605323.6,81123016360.6,97616690275.4,94330755729.6,89608120129.4,81840187322.5,70032207472.9,70595671105.1,66122298496.2,,
Armenia,ARM,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173470000.0,229020000.0,303619740.0,369749357.822,335112773.808,359079981.191,385802706.632,454174297.215,561984358.296,747565570.881,981741374.925,1117371715.12,1458848046.09,1646706743.23,1968449652.25,1943627882.74,1559300543.61,2210672987.38,2742201909.07,2917371358.54,3155257884.77,3318345442.35,3136322622.58,3500389359.55,1968449652.25,,
American Samoa,ASM,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,31300000.0,42100000.0,50200000.0,104100000.0,103900000.0,101000000.0,99300000.0,167300000.0,178600000.0,205892592.593,226985185.185,265525925.926,290937037.037,345300000.0,369862962.963,407370370.37,439166666.667,436459259.259,401607407.407,402522222.222,443288888.889,465900000.0,472832108.519,466861909.63,445334074.074,427865302.222,462637943.704,533973111.111,545269385.185,548169825.556,581289324.074,625368677.407,561623502.222,523833886.667,537755738.889,541549686.667,529183396.296,1031265834.62,1034001059.82,1033530373.53,581289324.074,,
Australia,AUS,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46338431721.6,50111728311.0,53635948088.2,54572911594.5,55290810029.5,62036906626.4,70182584496.6,79842872962.3,84393594743.5,73133991014.8,74820158381.9,83989348863.1,81575692194.6,84497680537.5,94088600035.4,1.14901826682e+11,1.37448890573e+11,1.57748983801e+11,1.82994104399e+11,2.32680429205e+11,1.95104905304e+11,2.60249450615e+11,3.24140478279e+11,3.11985984117e+11,3.07257830406e+11,2.94725278336e+11,2.37375980446e+11,2.4593841522e+11,1.82994104399e+11,,
Austria,AUT,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59058959736e+11,1.75028003699e+11,2.11313160224e+11,2.35876302206e+11,1.85637475393e+11,1.97801804471e+11,2.29323222521e+11,2.18171494112e+11,2.28883573009e+11,2.36025285697e+11,2.01886276678e+11,2.03884024082e+11,2.11313160224e+11,,
Azerbaijan,AZE,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784709000.0,792925000.0,1150053000.0,1009435000.0,1282021000.0,2118103000.0,2368762000.0,2655143000.0,3038268000.0,4123270000.0,8139524000.0,13714380000.0,22355216000.0,31889127000.0,22759265000.0,28234775000.0,37038851000.0,36685877000.0,35912069000.0,32556819000.0,20030038000.0,17578801000.0,22355216000.0,,
