Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62,2018
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167597.77,1320670391.06,1379888268.16,1531843575.42,1665363128.49,1722798882.68,1873452513.97,1920262569.83,1941094972.07,2021301675.98,2228279329.61,2331005586.59,2421474860.34,2623726256.98,2791960893.85,2498932960.89,2467703910.61,2584463687.15,,,,,,2623726256.98,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.111,548888895.556,546666677.778,751111191.111,800000044.444,1006666637.78,1399999966.67,1673333417.78,1373333366.67,1408888922.22,1748886595.56,1831108971.11,1595555475.56,1733333264.44,2155555497.78,2366666615.56,2555555566.67,2953333417.78,3300000108.89,3697940409.61,3641723322.0,3478787909.09,,,,,,,,,,,,,,,,,,,,2461665937.89,4128820723.05,4583644246.48,5285465685.86,6275073571.55,7057598406.62,9843842455.48,10190529882.5,12486943505.7,15936800636.2,17930239399.8,20536542736.7,20046334304.0,20050189881.7,19215562179.0,19469022207.7,9843842455.48,,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6684491978.61,6684491978.61,6684491978.61,6684491978.61,10026737967.9,10026737967.9,12118610904.2,5684291718.77,5278182970.8,4059352153.05,5039552482.43,7526446605.52,7648377412.83,6445041824.67,6152922942.98,9129594818.61,8936063723.2,12497346669.7,14188949190.6,19640848728.9,28233712830.9,41789478661.3,60448921272.2,84178032716.1,75492384801.4,82470913120.7,1.04115923083e+11,1.15398371428e+11,1.24912063308e+11,1.26776874217e+11,1.02962245247e+11,95335111741.2,60448921272.2,,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242453.01,1965384586.24,2173750012.5,2156624900.0,2126000000.0,2335124987.5,2101624962.5,1139166645.83,709452583.88,1228071037.84,1985673798.1,2424499009.14,3314898291.75,2359903108.38,2707123772.16,3414760915.28,3632043907.98,4060758804.12,4435078647.75,5746945912.58,7314865175.62,8158548716.69,8992642348.79,10701011896.8,12881352687.8,12044212903.8,11926953258.9,12890867538.5,12319784787.3,12776277515.5,13228244357.2,11335264966.6,11863865978.1,10701011896.8,,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.0851,89409820.3593,113408231.944,150820102.798,186558696.279,220127246.377,227281024.621,254020153.341,308008897.569,411578334.16,446416105.825,388958731.303,375895956.383,327861832.947,330070689.298,346737964.775,482000594.036,611316399.407,721425939.152,795449332.396,1029048481.88,1106928582.87,1210013651.88,1007025755.0,1017549124.33,1178738991.19,1223945356.63,1180597272.73,1211932397.82,1239876305.14,1434429703.34,1496912751.68,1733116883.12,2398645598.19,2935659299.73,3255789080.96,3543256805.92,4016972351.49,4007353156.58,3660530702.97,3355695364.24,3442062830.14,3164615186.95,3281585236.33,3350736367.25,2811489408.89,2858517699.12,4016972351.49,,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,25760683041.1,28434203615.5,31385499664.1,36426909888.4,43316056615.5,55018394945.6,1.05145803084e+11,1.16337021938e+11,1.448461754e+11,1.67308327684e+11,1.83555544342e+11,2.48646206367e+11,3.38177454718e+11,3.48592795413e+11,3.24328753765e+11,3.03962539723e+11,3.07940771859e+11,3.03893618416e+11,2.89029150639e+11,3.1268167833e+11,3.07503035643e+11,3.22325140495e+11,4.46877161735e+11,4.39779177865e+11,4.7116351548e+11,4.76513630621e+11,4.87526906267e+11,5.23759898279e+11,5.78231297757e+11,6.13279452463e+11,5.91525594008e+11,6.43889670873e+11,7.35025140327e+11,7.23282816391e+11,7.29051715403e+11,8.2311054144e+11,9.63862340521e+11,1.1846615496e+12,1.4041135308e+12,1.63757319697e+12,2.07811565988e+12,1.79581960711e+12,2.10964582195e+12,2.50155364841e+12,2.74123853844e+12,2.83962663584e+12,2.90661643519e+12,2.56330173034e+12,2.50470262557e+12,1.63757319697e+12,,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672506.5,19213022691.1,24871775164.6,23775831783.4,31225463217.8,43598748449.0,49333424135.1,46622718605.3,42803323345.1,41807954235.9,40603650231.5,33943612094.8,36384908744.2,36275674203.2,41464995913.9,50701443748.3,51552165622.4,54239171887.8,55625170253.3,59305093979.8,65743666575.9,73571233996.2,78839008444.6,75674336283.2,84445473111.0,1.04337372362e+11,1.03311640572e+11,1.09816201498e+11,1.24346358067e+11,1.4782437032e+11,1.8061701838e+11,2.22116541865e+11,2.57916133424e+11,3.15474615739e+11,2.53547358747e+11,2.89880430197e+11,3.50908390034e+11,3.74817974105e+11,3.90427289204e+11,4.03197682886e+11,3.57949199755e+11,3.48743265705e+11,2.57916133424e+11,,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604877.6,18272123664.5,25605249381.8,28344705966.6,28630474727.9,24256667553.3,26436857247.5,31256284543.6,31584210365.5,33293199095.5,34733000536.3,52544000116.9,72436777342.5,52438647921.9,51169499890.8,56781000100.9,58082870156.3,69252328953.4,76961923741.9,78676842366.4,84307486836.7,1.03979106778e+11,79092001998.0,88416668900.3,1.10934442763e+11,1.11106191358e+11,1.26206817196e+11,76636898036.5,1.41352368715e+11,1.89719984268e+11,2.28788617202e+11,2.36741715015e+11,2.5744e+11,2.5803175e+11,2.7214975e+11,2.92859e+11,2.9894825e+11,2.83523e+11,2.8420375e+11,2.6869675e+11,97724004251.9,1.27586973492e+11,1.64657930453e+11,1.98737095012e+11,2.32557260817e+11,2.87530508431e+11,3.6155803711e+11,3.32976484578e+11,4.23627422092e+11,5.30163281575e+11,5.45982375701e+11,5.52025140252e+11,5.26319673732e+11,5.84711485367e+11,5.45476103427e+11,2.87530508431e+11,,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.43,2068526521.9,1272577456.13,1201313201.01,1315158670.28,1468317350.07,1596968913.28,1639492424.36,1893726437.26,1845482181.45,1911563665.39,2118467913.38,2376335048.4,2807061008.69,3576615240.42,4900469950.09,6384451606.14,9206301700.4,11662040713.9,8647936747.99,9260284937.8,10142111334.5,10619320048.6,11121465767.4,11609512939.8,10553337673.0,10572298341.6,9206301700.4,,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,643000000.0,659000000.0,658000000.0,520000000.0,,
