"Date","Price","Open","High","Low","Change %"
"Dec 30, 2016","0.7216","0.7215","0.7247","0.7204","-0.03"
"Dec 29, 2016","0.7218","0.7179","0.7228","0.7164","0.57"
"Dec 28, 2016","0.7177","0.7182","0.7220","0.7158","-0.11"
"Dec 27, 2016","0.7185","0.7189","0.7201","0.7168","-0.06"
"Dec 26, 2016","0.7189","0.7163","0.7233","0.7152","0.08"
"Dec 23, 2016","0.7183","0.7214","0.7229","0.7154","-0.47"
"Dec 22, 2016","0.7217","0.7236","0.7260","0.7192","-0.29"
"Dec 21, 2016","0.7238","0.7254","0.7283","0.7229","-0.30"
"Dec 20, 2016","0.7260","0.7245","0.7263","0.7218","0.19"
"Dec 19, 2016","0.7246","0.7285","0.7313","0.7237","-0.82"
"Dec 16, 2016","0.7306","0.7356","0.7371","0.7260","-0.72"
"Dec 15, 2016","0.7359","0.7406","0.7433","0.7331","-0.63"
"Dec 14, 2016","0.7406","0.7496","0.7528","0.7390","-1.24"
"Dec 13, 2016","0.7499","0.7499","0.7524","0.7469","-0.01"
"Dec 12, 2016","0.7500","0.7448","0.7509","0.7422","0.63"
"Dec 09, 2016","0.7453","0.7455","0.7498","0.7430","-0.11"
"Dec 08, 2016","0.7461","0.7479","0.7509","0.7422","-0.27"
"Dec 07, 2016","0.7481","0.7452","0.7486","0.7411","0.27"
"Dec 06, 2016","0.7461","0.7471","0.7484","0.7426","-0.15"
"Dec 05, 2016","0.7472","0.7447","0.7498","0.7408","0.13"
"Dec 02, 2016","0.7462","0.7412","0.7470","0.7395","0.63"
"Dec 01, 2016","0.7415","0.7384","0.7421","0.7366","0.39"
"Nov 30, 2016","0.7386","0.7482","0.7500","0.7368","-1.31"
"Nov 29, 2016","0.7484","0.7478","0.7498","0.7428","0.03"
"Nov 28, 2016","0.7482","0.7426","0.7498","0.7422","0.51"
"Nov 25, 2016","0.7444","0.7403","0.7482","0.7394","0.49"
"Nov 24, 2016","0.7408","0.7383","0.7419","0.7358","0.31"
"Nov 23, 2016","0.7385","0.7400","0.7445","0.7367","-0.23"
"Nov 22, 2016","0.7402","0.7368","0.7414","0.7352","0.45"
"Nov 21, 2016","0.7369","0.7330","0.7387","0.7305","0.41"
"Nov 18, 2016","0.7339","0.7403","0.7425","0.7325","-0.92"
"Nov 17, 2016","0.7407","0.7478","0.7505","0.7392","-0.98"
"Nov 16, 2016","0.7480","0.7558","0.7575","0.7456","-1.05"
"Nov 15, 2016","0.7559","0.7552","0.7582","0.7506","0.11"
"Nov 14, 2016","0.7551","0.7522","0.7566","0.7518","-0.01"
"Nov 11, 2016","0.7552","0.7612","0.7631","0.7519","-0.80"
"Nov 10, 2016","0.7613","0.7628","0.7744","0.7564","-0.29"
"Nov 09, 2016","0.7635","0.7758","0.7773","0.7576","-1.64"
"Nov 08, 2016","0.7762","0.7726","0.7778","0.7685","0.44"
"Nov 07, 2016","0.7728","0.7670","0.7732","0.7653","0.72"
"Nov 04, 2016","0.7673","0.7679","0.7699","0.7649","-0.13"
"Nov 03, 2016","0.7683","0.7656","0.7692","0.7633","0.29"
"Nov 02, 2016","0.7661","0.7652","0.7681","0.7609","0.12"
"Nov 01, 2016","0.7652","0.7608","0.7692","0.7595","0.55"
"Oct 31, 2016","0.7610","0.7590","0.7620","0.7575","0.13"
"Oct 28, 2016","0.7600","0.7588","0.7612","0.7555","0.12"
"Oct 27, 2016","0.7591","0.7650","0.7654","0.7578","-0.77"
"Oct 26, 2016","0.7650","0.7645","0.7709","0.7630","0.04"
"Oct 25, 2016","0.7647","0.7609","0.7655","0.7586","0.47"
"Oct 24, 2016","0.7611","0.7595","0.7642","0.7588","0.05"
"Oct 21, 2016","0.7607","0.7625","0.7656","0.7584","-0.26"
"Oct 20, 2016","0.7627","0.7721","0.7736","0.7617","-1.23"
"Oct 19, 2016","0.7722","0.7666","0.7730","0.7656","0.74"
"Oct 18, 2016","0.7665","0.7628","0.7692","0.7621","0.47"
"Oct 17, 2016","0.7629","0.7609","0.7635","0.7578","0.10"
"Oct 14, 2016","0.7621","0.7567","0.7657","0.7553","0.69"
"Oct 13, 2016","0.7569","0.7559","0.7581","0.7504","0.11"
"Oct 12, 2016","0.7561","0.7535","0.7593","0.7529","0.29"
"Oct 11, 2016","0.7539","0.7604","0.7615","0.7529","-0.89"
"Oct 10, 2016","0.7607","0.7576","0.7628","0.7576","0.40"
"Oct 07, 2016","0.7577","0.7584","0.7626","0.7550","-0.11"
"Oct 06, 2016","0.7585","0.7620","0.7626","0.7559","-0.50"
"Oct 05, 2016","0.7623","0.7620","0.7645","0.7590","0.03"
"Oct 04, 2016","0.7621","0.7666","0.7693","0.7604","-0.69"
"Oct 03, 2016","0.7674","0.7653","0.7685","0.7637","0.13"
"Sep 30, 2016","0.7664","0.7634","0.7681","0.7587","0.37"
"Sep 29, 2016","0.7636","0.7691","0.7713","0.7619","-0.73"
"Sep 28, 2016","0.7692","0.7666","0.7695","0.7641","0.33"
"Sep 27, 2016","0.7667","0.7630","0.7697","0.7608","0.39"
"Sep 26, 2016","0.7637","0.7616","0.7650","0.7600","0.21"
"Sep 23, 2016","0.7621","0.7640","0.7655","0.7606","-0.30"
"Sep 22, 2016","0.7644","0.7623","0.7678","0.7605","0.26"
"Sep 21, 2016","0.7624","0.7552","0.7631","0.7531","0.87"
"Sep 20, 2016","0.7558","0.7533","0.7565","0.7527","0.32"
"Sep 19, 2016","0.7534","0.7484","0.7573","0.7469","0.59"
"Sep 16, 2016","0.7490","0.7512","0.7529","0.7473","-0.32"
"Sep 15, 2016","0.7514","0.7469","0.7522","0.7443","0.59"
"Sep 14, 2016","0.7470","0.7460","0.7500","0.7448","0.00"
"Sep 13, 2016","0.7470","0.7563","0.7574","0.7439","-1.27"
"Sep 12, 2016","0.7566","0.7539","0.7569","0.7491","0.33"
"Sep 09, 2016","0.7541","0.7643","0.7660","0.7533","-1.35"
"Sep 08, 2016","0.7644","0.7672","0.7736","0.7631","-0.38"
"Sep 07, 2016","0.7673","0.7686","0.7698","0.7649","-0.21"
"Sep 06, 2016","0.7689","0.7578","0.7691","0.7576","1.41"
"Sep 05, 2016","0.7582","0.7561","0.7611","0.7557","0.13"
"Sep 02, 2016","0.7572","0.7547","0.7618","0.7532","0.26"
"Sep 01, 2016","0.7552","0.7515","0.7559","0.7502","0.45"
"Aug 31, 2016","0.7518","0.7509","0.7537","0.7488","0.11"
"Aug 30, 2016","0.7510","0.7563","0.7580","0.7496","-0.79"
"Aug 29, 2016","0.7570","0.7555","0.7583","0.7522","0.08"
"Aug 26, 2016","0.7564","0.7617","0.7692","0.7547","-0.71"
"Aug 25, 2016","0.7618","0.7612","0.7641","0.7599","0.07"
"Aug 24, 2016","0.7613","0.7611","0.7634","0.7586","-0.04"
"Aug 23, 2016","0.7616","0.7620","0.7656","0.7609","-0.03"
"Aug 22, 2016","0.7618","0.7606","0.7640","0.7580","-0.13"
"Aug 19, 2016","0.7628","0.7686","0.7695","0.7596","-0.75"
"Aug 18, 2016","0.7686","0.7655","0.7724","0.7641","0.40"
"Aug 17, 2016","0.7655","0.7690","0.7708","0.7607","-0.52"
"Aug 16, 2016","0.7695","0.7671","0.7751","0.7650","0.29"
"Aug 15, 2016","0.7673","0.7646","0.7692","0.7633","0.34"
"Aug 12, 2016","0.7647","0.7699","0.7725","0.7641","-0.68"
"Aug 11, 2016","0.7699","0.7697","0.7755","0.7689","-0.05"
"Aug 10, 2016","0.7703","0.7670","0.7757","0.7658","0.40"
"Aug 09, 2016","0.7672","0.7650","0.7688","0.7618","0.27"
"Aug 08, 2016","0.7651","0.7612","0.7673","0.7594","0.41"
"Aug 05, 2016","0.7620","0.7627","0.7664","0.7594","-0.10"
"Aug 04, 2016","0.7628","0.7587","0.7641","0.7580","0.51"
"Aug 03, 2016","0.7589","0.7610","0.7616","0.7566","-0.28"
"Aug 02, 2016","0.7610","0.7534","0.7639","0.7495","0.97"
"Aug 01, 2016","0.7537","0.7589","0.7618","0.7525","-0.79"
"Jul 29, 2016","0.7597","0.7504","0.7612","0.7490","1.27"
"Jul 28, 2016","0.7502","0.7487","0.7552","0.7482","0.15"
"Jul 27, 2016","0.7491","0.7502","0.7565","0.7417","-0.15"
"Jul 26, 2016","0.7502","0.7468","0.7543","0.7459","0.43"
"Jul 25, 2016","0.7470","0.7459","0.7496","0.7448","0.05"
"Jul 22, 2016","0.7466","0.7494","0.7511","0.7439","-0.41"
"Jul 21, 2016","0.7497","0.7478","0.7514","0.7450","0.25"
"Jul 20, 2016","0.7478","0.7503","0.7517","0.7459","-0.33"
"Jul 19, 2016","0.7503","0.7589","0.7594","0.7473","-1.16"
"Jul 18, 2016","0.7591","0.7575","0.7607","0.7572","0.17"
"Jul 15, 2016","0.7578","0.7630","0.7674","0.7555","-0.69"
"Jul 14, 2016","0.7631","0.7606","0.7655","0.7588","0.30"
"Jul 13, 2016","0.7608","0.7620","0.7641","0.7576","-0.18"
"Jul 12, 2016","0.7622","0.7529","0.7658","0.7525","1.21"
"Jul 11, 2016","0.7531","0.7565","0.7578","0.7519","-0.49"
"Jul 08, 2016","0.7568","0.7478","0.7573","0.7467","1.12"
"Jul 07, 2016","0.7484","0.7519","0.7546","0.7464","-0.48"
"Jul 06, 2016","0.7520","0.7458","0.7532","0.7404","0.78"
"Jul 05, 2016","0.7462","0.7536","0.7547","0.7450","-1.02"
"Jul 04, 2016","0.7539","0.7444","0.7549","0.7438","0.55"
"Jul 01, 2016","0.7498","0.7448","0.7508","0.7428","0.63"
"Jun 30, 2016","0.7451","0.7450","0.7473","0.7369","0.00"
"Jun 29, 2016","0.7451","0.7381","0.7459","0.7373","0.85"
"Jun 28, 2016","0.7388","0.7332","0.7416","0.7317","0.83"
"Jun 27, 2016","0.7327","0.7452","0.7461","0.7315","-1.82"
"Jun 24, 2016","0.7463","0.7603","0.7653","0.7302","-1.94"
"Jun 23, 2016","0.7611","0.7498","0.7618","0.7488","1.47"
"Jun 22, 2016","0.7501","0.7448","0.7528","0.7438","0.68"
"Jun 21, 2016","0.7450","0.7453","0.7518","0.7442","-0.11"
"Jun 20, 2016","0.7458","0.7399","0.7482","0.7395","0.80"
"Jun 17, 2016","0.7399","0.7362","0.7413","0.7355","0.49"
"Jun 16, 2016","0.7363","0.7403","0.7438","0.7283","-0.61"
"Jun 15, 2016","0.7408","0.7358","0.7448","0.7330","0.67"
"Jun 14, 2016","0.7359","0.7381","0.7408","0.7327","-0.39"
"Jun 13, 2016","0.7388","0.7372","0.7413","0.7356","0.22"
"Jun 10, 2016","0.7372","0.7430","0.7438","0.7366","-0.79"
"Jun 09, 2016","0.7431","0.7470","0.7508","0.7418","-0.52"
"Jun 08, 2016","0.7470","0.7457","0.7484","0.7426","0.13"
"Jun 07, 2016","0.7460","0.7364","0.7466","0.7356","1.23"
"Jun 06, 2016","0.7369","0.7365","0.7393","0.7312","0.01"
"Jun 03, 2016","0.7368","0.7228","0.7372","0.7214","1.92"
"Jun 02, 2016","0.7229","0.7257","0.7268","0.7199","-0.41"
"Jun 01, 2016","0.7259","0.7235","0.7300","0.7223","0.36"
"May 31, 2016","0.7233","0.7179","0.7270","0.7175","0.70"
"May 30, 2016","0.7183","0.7180","0.7190","0.7145","0.00"
"May 27, 2016","0.7183","0.7225","0.7239","0.7167","-0.60"
"May 26, 2016","0.7226","0.7194","0.7244","0.7162","0.38"
"May 25, 2016","0.7199","0.7182","0.7219","0.7170","0.22"
"May 24, 2016","0.7183","0.7219","0.7229","0.7142","-0.57"
"May 23, 2016","0.7224","0.7221","0.7263","0.7192","0.03"
"May 20, 2016","0.7222","0.7226","0.7252","0.7210","-0.08"
"May 19, 2016","0.7228","0.7228","0.7244","0.7173","-0.03"
"May 18, 2016","0.7230","0.7322","0.7334","0.7216","-1.30"
"May 17, 2016","0.7325","0.7288","0.7369","0.7279","0.49"
"May 16, 2016","0.7289","0.7251","0.7310","0.7233","0.29"
"May 13, 2016","0.7268","0.7323","0.7330","0.7251","-0.79"
"May 12, 2016","0.7326","0.7374","0.7379","0.7307","-0.68"
"May 11, 2016","0.7376","0.7362","0.7403","0.7333","0.18"
"May 10, 2016","0.7363","0.7315","0.7374","0.7297","0.64"
"May 09, 2016","0.7316","0.7354","0.7386","0.7302","-0.72"
"May 06, 2016","0.7369","0.7463","0.7482","0.7336","-1.31"
"May 05, 2016","0.7467","0.7456","0.7515","0.7449","0.13"
"May 04, 2016","0.7457","0.7480","0.7518","0.7443","-0.36"
"May 03, 2016","0.7484","0.7664","0.7720","0.7479","-2.37"
"May 02, 2016","0.7666","0.7596","0.7672","0.7588","0.83"
"Apr 29, 2016","0.7603","0.7624","0.7669","0.7582","-0.30"
"Apr 28, 2016","0.7626","0.7587","0.7659","0.7571","0.50"
"Apr 27, 2016","0.7588","0.7745","0.7770","0.7545","-2.07"
"Apr 26, 2016","0.7748","0.7712","0.7766","0.7695","0.43"
"Apr 25, 2016","0.7715","0.7701","0.7729","0.7688","0.09"
"Apr 22, 2016","0.7708","0.7736","0.7777","0.7690","-0.39"
"Apr 21, 2016","0.7738","0.7791","0.7836","0.7729","-0.72"
"Apr 20, 2016","0.7794","0.7811","0.7829","0.7764","-0.24"
"Apr 19, 2016","0.7813","0.7749","0.7828","0.7741","0.81"
"Apr 18, 2016","0.7750","0.7635","0.7759","0.7588","0.34"
"Apr 15, 2016","0.7724","0.7694","0.7738","0.7677","0.36"
"Apr 14, 2016","0.7696","0.7651","0.7737","0.7616","0.56"
"Apr 13, 2016","0.7653","0.7683","0.7716","0.7631","-0.40"
"Apr 12, 2016","0.7684","0.7595","0.7690","0.7580","1.16"
"Apr 11, 2016","0.7596","0.7545","0.7631","0.7525","0.54"
"Apr 08, 2016","0.7555","0.7504","0.7584","0.7496","0.68"
"Apr 07, 2016","0.7504","0.7593","0.7640","0.7488","-1.25"
"Apr 06, 2016","0.7599","0.7541","0.7619","0.7529","0.73"
"Apr 05, 2016","0.7544","0.7604","0.7628","0.7508","-0.82"
"Apr 04, 2016","0.7606","0.7671","0.7681","0.7595","-0.83"
"Apr 01, 2016","0.7670","0.7657","0.7702","0.7597","0.16"
"Mar 31, 2016","0.7658","0.7668","0.7725","0.7632","-0.17"
"Mar 30, 2016","0.7671","0.7625","0.7708","0.7612","0.56"
"Mar 29, 2016","0.7628","0.7543","0.7648","0.7508","1.09"
"Mar 28, 2016","0.7546","0.7498","0.7560","0.7490","0.51"
"Mar 25, 2016","0.7508","0.7523","0.7537","0.7489","-0.29"
"Mar 24, 2016","0.7530","0.7529","0.7540","0.7475","-0.03"
"Mar 23, 2016","0.7532","0.7621","0.7652","0.7514","-1.18"
"Mar 22, 2016","0.7622","0.7578","0.7643","0.7548","0.57"
"Mar 21, 2016","0.7579","0.7599","0.7628","0.7565","-0.33"
"Mar 18, 2016","0.7604","0.7648","0.7685","0.7591","-0.61"
"Mar 17, 2016","0.7651","0.7549","0.7658","0.7530","1.31"
"Mar 16, 2016","0.7552","0.7455","0.7564","0.7413","1.27"
"Mar 15, 2016","0.7457","0.7514","0.7528","0.7440","-0.76"
"Mar 14, 2016","0.7514","0.7542","0.7594","0.7486","-0.69"
"Mar 11, 2016","0.7566","0.7451","0.7586","0.7443","1.50"
"Mar 10, 2016","0.7454","0.7484","0.7514","0.7423","-0.43"
"Mar 09, 2016","0.7486","0.7437","0.7528","0.7409","0.63"
"Mar 08, 2016","0.7439","0.7467","0.7474","0.7407","-0.39"
"Mar 07, 2016","0.7468","0.7418","0.7486","0.7390","0.34"
"Mar 04, 2016","0.7443","0.7349","0.7446","0.7336","1.25"
"Mar 03, 2016","0.7351","0.7291","0.7377","0.7278","0.78"
