"Date","Price","Open","High","Low","Change %"
"Dec 30, 2016","3.2547","3.2532","3.2547","3.2532","0.00"
"Dec 29, 2016","3.2547","3.2810","3.2835","3.2401","-0.91"
"Dec 28, 2016","3.2845","3.2697","3.2959","3.2625","0.41"
"Dec 27, 2016","3.2712","3.2760","3.2913","3.2671","-0.18"
"Dec 26, 2016","3.2770","3.2705","3.2861","3.2632","0.18"
"Dec 23, 2016","3.2710","3.2865","3.2932","3.2570","-0.50"
"Dec 22, 2016","3.2875","3.3270","3.3486","3.2851","-1.19"
"Dec 21, 2016","3.3270","3.3570","3.3575","3.3212","-0.83"
"Dec 20, 2016","3.3547","3.3645","3.3791","3.3393","-0.31"
"Dec 19, 2016","3.3650","3.3915","3.4037","3.3600","-0.80"
"Dec 16, 2016","3.3920","3.3710","3.4126","3.3420","0.67"
"Dec 15, 2016","3.3695","3.3690","3.4087","3.3620","-0.03"
"Dec 14, 2016","3.3705","3.3357","3.3732","3.3012","1.05"
"Dec 13, 2016","3.3355","3.3375","3.3658","3.3168","-0.10"
"Dec 12, 2016","3.3388","3.3770","3.4087","3.3348","-1.18"
"Dec 09, 2016","3.3785","3.3750","3.4124","3.3510","0.09"
"Dec 08, 2016","3.3755","3.3825","3.4179","3.3690","-0.22"
"Dec 07, 2016","3.3830","3.4075","3.4201","3.3756","-0.73"
"Dec 06, 2016","3.4080","3.4205","3.4667","3.3936","-0.39"
"Dec 05, 2016","3.4215","3.4750","3.4819","3.4171","-1.55"
"Dec 02, 2016","3.4755","3.4700","3.4928","3.4435","0.11"
"Dec 01, 2016","3.4718","3.3839","3.4814","3.3805","2.59"
"Nov 30, 2016","3.3842","3.3983","3.4574","3.3751","-0.44"
"Nov 29, 2016","3.3990","3.3842","3.4154","3.3785","0.39"
"Nov 28, 2016","3.3859","3.4210","3.4237","3.3808","-1.06"
"Nov 25, 2016","3.4223","3.3902","3.4687","3.3893","0.91"
"Nov 24, 2016","3.3915","3.3929","3.4373","3.3810","-0.09"
"Nov 23, 2016","3.3945","3.3531","3.4213","3.3515","1.18"
"Nov 22, 2016","3.3550","3.3512","3.3908","3.3273","0.07"
"Nov 21, 2016","3.3525","3.3823","3.3846","3.3391","-0.92"
"Nov 18, 2016","3.3835","3.4166","3.4433","3.3705","-1.05"
"Nov 17, 2016","3.4193","3.4190","3.4531","3.3858","-0.02"
"Nov 16, 2016","3.4200","3.4390","3.4452","3.4023","-0.59"
"Nov 15, 2016","3.4404","3.4316","3.4457","3.4305","0.21"
"Nov 14, 2016","3.4331","3.3917","3.4755","3.3878","1.23"
"Nov 11, 2016","3.3915","3.3874","3.5086","3.3697","0.15"
"Nov 10, 2016","3.3864","3.2171","3.3970","3.2080","5.26"
"Nov 09, 2016","3.2172","3.1680","3.2502","3.1635","1.50"
"Nov 08, 2016","3.1695","3.1997","3.2163","3.1615","-1.01"
"Nov 07, 2016","3.2020","3.2333","3.2366","3.1870","-0.98"
"Nov 04, 2016","3.2337","3.2408","3.2649","3.2154","-0.27"
"Nov 03, 2016","3.2425","3.2343","3.2565","3.2195","0.20"
"Nov 02, 2016","3.2359","3.2355","3.2425","3.2340","-0.02"
"Nov 01, 2016","3.2367","3.1876","3.2553","3.1768","1.49"
"Oct 31, 2016","3.1893","3.2030","3.2065","3.1623","-0.54"
"Oct 28, 2016","3.2065","3.1692","3.2078","3.1565","1.15"
"Oct 27, 2016","3.1701","3.1394","3.1749","3.1270","0.93"
"Oct 26, 2016","3.1409","3.1127","3.1541","3.1099","0.83"
"Oct 25, 2016","3.1151","3.1228","3.1380","3.1011","-0.30"
"Oct 24, 2016","3.1246","3.1500","3.1540","3.1131","-0.84"
"Oct 21, 2016","3.1511","3.1418","3.1698","3.1361","0.25"
"Oct 20, 2016","3.1433","3.1684","3.1733","3.1333","-0.83"
"Oct 19, 2016","3.1697","3.1863","3.1989","3.1626","-0.60"
"Oct 18, 2016","3.1888","3.2008","3.2075","3.1729","-0.42"
"Oct 17, 2016","3.2022","3.2051","3.2180","3.1877","-0.09"
"Oct 14, 2016","3.2051","3.1775","3.2081","3.1632","0.85"
"Oct 13, 2016","3.1780","3.2011","3.2192","3.1755","-0.77"
"Oct 12, 2016","3.2025","3.1950","3.2047","3.1942","0.23"
"Oct 11, 2016","3.1953","3.2056","3.2271","3.1930","-0.35"
"Oct 10, 2016","3.2065","3.2212","3.2245","3.1970","-0.43"
"Oct 07, 2016","3.2204","3.2271","3.2429","3.1906","-0.29"
"Oct 06, 2016","3.2298","3.2191","3.2442","3.2161","0.30"
"Oct 05, 2016","3.2202","3.2564","3.2616","3.2160","-1.15"
"Oct 04, 2016","3.2578","3.2079","3.2624","3.2057","1.47"
"Oct 03, 2016","3.2105","3.2616","3.2640","3.1973","-1.53"
"Sep 30, 2016","3.2603","3.2580","3.2636","3.2294","0.02"
"Sep 29, 2016","3.2595","3.2168","3.2707","3.2123","1.33"
"Sep 28, 2016","3.2167","3.2350","3.2559","3.2123","-0.55"
"Sep 27, 2016","3.2346","3.2385","3.2486","3.2178","-0.17"
"Sep 26, 2016","3.2401","3.2436","3.2529","3.2228","-0.15"
"Sep 23, 2016","3.2450","3.2207","3.2523","3.2006","0.75"
"Sep 22, 2016","3.2208","3.2055","3.2287","3.1801","0.43"
"Sep 21, 2016","3.2071","3.2574","3.2605","3.2043","-1.59"
"Sep 20, 2016","3.2589","3.2720","3.2757","3.2443","-0.44"
"Sep 19, 2016","3.2732","3.2620","3.2786","3.2513","0.34"
"Sep 16, 2016","3.2622","3.3014","3.3200","3.2598","-1.22"
"Sep 15, 2016","3.3024","3.3440","3.3680","3.2921","-1.20"
"Sep 14, 2016","3.3426","3.3124","3.3503","3.2969","0.87"
"Sep 13, 2016","3.3138","3.2447","3.3338","3.2425","2.10"
"Sep 12, 2016","3.2458","3.2717","3.3103","3.2402","-0.85"
"Sep 09, 2016","3.2735","3.2086","3.2857","3.2086","1.84"
"Sep 08, 2016","3.2143","3.1915","3.2199","3.1643","0.67"
"Sep 07, 2016","3.1930","3.1953","3.2032","3.1915","-0.07"
"Sep 06, 2016","3.1952","3.2815","3.2844","3.1935","-2.68"
"Sep 05, 2016","3.2833","3.2558","3.2862","3.2460","0.81"
"Sep 02, 2016","3.2568","3.2577","3.2714","3.2231","-0.04"
"Sep 01, 2016","3.2582","3.2251","3.2639","3.2180","0.96"
"Aug 31, 2016","3.2272","3.2407","3.2569","3.2150","-0.45"
"Aug 30, 2016","3.2419","3.2295","3.2642","3.2173","0.37"
"Aug 29, 2016","3.2298","3.2650","3.2910","3.2290","-1.09"
"Aug 26, 2016","3.2655","3.2361","3.2795","3.1881","0.89"
"Aug 25, 2016","3.2367","3.2248","3.2425","3.2150","0.34"
"Aug 24, 2016","3.2257","3.2327","3.2506","3.2173","-0.25"
"Aug 23, 2016","3.2337","3.2005","3.2381","3.1835","1.01"
"Aug 22, 2016","3.2014","3.2056","3.2277","3.1965","-0.07"
"Aug 19, 2016","3.2038","3.2387","3.2515","3.2022","-1.10"
"Aug 18, 2016","3.2393","3.2032","3.2467","3.1988","1.11"
"Aug 17, 2016","3.2036","3.2009","3.2355","3.1971","0.03"
"Aug 16, 2016","3.2027","3.1854","3.2070","3.1551","0.52"
"Aug 15, 2016","3.1862","3.1905","3.1936","3.1556","-0.20"
