"Date","Price","Open","High","Low","Change %"
"Dec 30, 2016","6.9450","6.9535","6.9555","6.9400","-0.15"
"Dec 29, 2016","6.9553","6.9485","6.9576","6.9480","-0.06"
"Dec 28, 2016","6.9593","6.9480","6.9620","6.9480","0.10"
"Dec 27, 2016","6.9525","6.9480","6.9542","6.9430","0.05"
"Dec 26, 2016","6.9489","6.9430","6.9506","6.9430","0.04"
"Dec 23, 2016","6.9464","6.9450","6.9532","6.9410","-0.06"
"Dec 22, 2016","6.9504","6.9421","6.9516","6.9421","0.12"
"Dec 21, 2016","6.9421","6.9470","6.9549","6.9390","-0.12"
"Dec 20, 2016","6.9505","6.9470","6.9595","6.9459","-0.05"
"Dec 19, 2016","6.9539","6.9395","6.9546","6.9395","-0.09"
"Dec 16, 2016","6.9603","6.9488","6.9624","6.9446","0.23"
"Dec 15, 2016","6.9443","6.9025","6.9444","6.9025","0.57"
"Dec 14, 2016","6.9051","6.9000","6.9101","6.8983","0.05"
"Dec 13, 2016","6.9017","6.9045","6.9078","6.8975","-0.08"
"Dec 12, 2016","6.9069","6.9080","6.9187","6.9045","-0.01"
"Dec 09, 2016","6.9077","6.8985","6.9085","6.8974","0.40"
"Dec 08, 2016","6.8799","6.8800","6.8833","6.8732","-0.01"
"Dec 07, 2016","6.8805","6.8790","6.8938","6.8765","-0.02"
"Dec 06, 2016","6.8820","6.8761","6.8821","6.8623","0.01"
"Dec 05, 2016","6.8810","6.8828","6.8933","6.8765","-0.08"
"Dec 02, 2016","6.8865","6.8791","6.8903","6.8787","0.00"
"Dec 01, 2016","6.8865","6.8900","6.8992","6.8830","-0.00"
"Nov 30, 2016","6.8868","6.8833","6.8898","6.8807","-0.14"
"Nov 29, 2016","6.8968","6.8907","6.9021","6.8900","-0.17"
"Nov 28, 2016","6.9088","6.9042","6.9090","6.8996","-0.16"
"Nov 25, 2016","6.9198","6.9200","6.9232","6.9120","0.00"
"Nov 24, 2016","6.9196","6.9195","6.9238","6.9135","-0.01"
"Nov 23, 2016","6.9202","6.8880","6.9203","6.8880","0.44"
"Nov 22, 2016","6.8900","6.8918","6.8938","6.8820","-0.04"
