"Date","Price","Open","High","Low","Change %"
"Dec 30, 2016","13,472.5","13,445.0","13,472.5","13,420.0","0.07"
"Dec 29, 2016","13,462.5","13,445.0","13,482.5","13,445.0","0.15"
"Dec 28, 2016","13,442.5","13,410.0","13,462.5","13,410.0","-0.04"
"Dec 27, 2016","13,447.5","13,430.0","13,447.5","13,420.0","0.00"
"Dec 26, 2016","13,447.0","13,449.0","13,458.0","13,412.0","-0.02"
"Dec 23, 2016","13,450.0","13,450.0","13,479.0","13,430.0","-0.02"
"Dec 22, 2016","13,452.5","13,450.0","13,452.5","13,425.0","-0.12"
"Dec 21, 2016","13,469.0","13,430.0","13,486.0","13,430.0","0.31"
"Dec 20, 2016","13,427.5","13,370.0","13,427.5","13,370.0","0.33"
"Dec 19, 2016","13,384.0","13,380.0","13,389.0","13,370.0","-0.04"
"Dec 16, 2016","13,390.0","13,400.0","13,435.0","13,360.0","-0.06"
"Dec 15, 2016","13,397.5","13,300.0","13,397.5","13,300.0","0.76"
"Dec 14, 2016","13,296.0","13,280.0","13,296.0","13,270.0","-0.09"
"Dec 13, 2016","13,307.5","13,300.0","13,315.5","13,295.0","0.17"
"Dec 12, 2016","13,285.0","13,364.0","13,390.0","13,247.5","-0.32"
"Dec 09, 2016","13,327.5","13,320.0","13,342.5","13,315.0","0.31"
"Dec 08, 2016","13,286.5","13,290.0","13,311.5","13,270.0","-0.29"
"Dec 07, 2016","13,325.0","13,350.0","13,360.0","13,310.0","-0.43"
"Dec 06, 2016","13,382.5","13,380.0","13,419.5","13,350.0","-0.37"
"Dec 05, 2016","13,432.5","13,510.0","13,522.5","13,400.0","-0.68"
"Dec 02, 2016","13,525.0","13,500.0","13,535.0","13,460.0","-0.15"
"Dec 01, 2016","13,545.0","13,570.0","13,590.0","13,540.0","-0.06"
"Nov 30, 2016","13,552.5","13,530.0","13,572.5","13,513.0","-0.15"
"Nov 29, 2016","13,572.5","13,500.0","13,576.5","13,500.0","0.31"
"Nov 28, 2016","13,530.0","13,470.0","13,545.0","13,448.0","0.09"
"Nov 25, 2016","13,517.5","13,560.0","13,577.5","13,490.0","-0.30"
"Nov 24, 2016","13,557.5","13,500.0","13,559.5","13,499.0","0.56"
"Nov 23, 2016","13,482.5","13,445.0","13,487.5","13,445.0","0.30"
"Nov 22, 2016","13,442.5","13,400.0","13,450.5","13,400.0","0.13"
"Nov 21, 2016","13,425.0","13,425.0","13,450.0","13,420.0","-0.02"
"Nov 18, 2016","13,427.5","13,375.0","13,431.5","13,370.0","0.41"
"Nov 17, 2016","13,372.5","13,380.0","13,399.5","13,365.0","-0.04"
"Nov 16, 2016","13,377.5","13,350.0","13,382.5","13,330.0","0.11"
"Nov 15, 2016","13,362.5","13,330.0","13,392.5","13,300.0","0.04"
"Nov 14, 2016","13,357.5","13,300.0","13,377.5","13,300.0","0.53"
"Nov 11, 2016","13,287.5","13,175.0","13,492.5","13,175.0","1.14"
"Nov 10, 2016","13,137.5","13,110.0","13,137.5","13,105.0","0.29"
"Nov 09, 2016","13,099.0","13,050.0","13,176.0","13,049.0","0.11"
"Nov 08, 2016","13,084.0","13,069.0","13,091.0","13,065.0","-0.03"
"Nov 07, 2016","13,088.0","13,070.0","13,088.0","13,069.0","0.14"
"Nov 04, 2016","13,070.0","13,075.0","13,115.0","13,060.0","-0.04"
"Nov 03, 2016","13,075.0","13,040.0","13,075.0","13,040.0","0.15"
"Nov 02, 2016","13,056.0","13,040.0","13,066.0","13,039.0","0.11"
"Nov 01, 2016","13,041.5","13,025.0","13,041.5","13,025.0","-0.05"
"Oct 31, 2016","13,048.0","13,050.0","13,053.0","13,039.0","-0.02"
"Oct 28, 2016","13,050.5","13,025.0","13,052.5","13,025.0","0.13"
"Oct 27, 2016","13,033.0","13,010.0","13,033.0","13,010.0","0.20"
"Oct 26, 2016","13,007.5","12,990.0","13,009.5","12,980.0","0.01"
