"Date","Price","Open","High","Low","Change %"
"Dec 30, 2016","4.4860","4.4840","4.4860","4.4840","0.03"
"Dec 29, 2016","4.4845","4.4825","4.4845","4.4805","0.06"
"Dec 28, 2016","4.4820","4.4790","4.4830","4.4790","0.08"
"Dec 27, 2016","4.4785","4.4765","4.4795","4.4755","0.10"
"Dec 26, 2016","4.4740","4.4740","4.4740","4.4740","0.00"
"Dec 23, 2016","4.4740","4.4745","4.4785","4.4740","-0.09"
"Dec 22, 2016","4.4780","4.4790","4.4800","4.4750","-0.03"
"Dec 21, 2016","4.4795","4.4765","4.4805","4.4765","0.00"
"Dec 20, 2016","4.4795","4.4750","4.4805","4.4750","0.03"
"Dec 19, 2016","4.4780","4.4735","4.4785","4.4735","0.01"
"Dec 16, 2016","4.4775","4.4640","4.4775","4.4640","0.29"
"Dec 15, 2016","4.4645","4.4485","4.4665","4.4485","0.42"
"Dec 14, 2016","4.4460","4.4250","4.4470","4.4250","0.21"
"Dec 13, 2016","4.4365","4.4215","4.4365","4.4215","0.29"
"Dec 12, 2016","4.4235","4.4235","4.4235","4.4235","0.00"
"Dec 09, 2016","4.4235","4.4230","4.4350","4.4230","0.03"
"Dec 08, 2016","4.4220","4.4290","4.4290","4.4220","-0.23"
"Dec 07, 2016","4.4320","4.4350","4.4360","4.4320","-0.08"
"Dec 06, 2016","4.4355","4.4475","4.4475","4.4355","-0.29"
"Dec 05, 2016","4.4485","4.4495","4.4505","4.4465","-0.09"
"Dec 02, 2016","4.4525","4.4545","4.4565","4.4440","-0.25"
"Dec 01, 2016","4.4635","4.4625","4.4705","4.4625","-0.06"
"Nov 30, 2016","4.4660","4.4620","4.4660","4.4620","0.00"
"Nov 29, 2016","4.4660","4.4600","4.4660","4.4600","0.08"
"Nov 28, 2016","4.4625","4.4485","4.4625","4.4485","0.13"
"Nov 25, 2016","4.4565","4.4535","4.4675","4.4535","0.15"
"Nov 24, 2016","4.4500","4.4470","4.4680","4.4470","0.17"
"Nov 23, 2016","4.4425","4.4125","4.4455","4.4125","0.49"
"Nov 22, 2016","4.4210","4.4190","4.4390","4.4090","0.02"
"Nov 21, 2016","4.4200","4.4110","4.4330","4.4110","0.08"
"Nov 18, 2016","4.4165","4.3945","4.4165","4.3945","0.52"
"Nov 17, 2016","4.3935","4.3545","4.3955","4.3536","1.00"
"Nov 16, 2016","4.3500","4.3350","4.3600","4.3300","0.12"
"Nov 15, 2016","4.3450","4.3200","4.3500","4.3200","0.35"
"Nov 14, 2016","4.3300","4.2900","4.3350","4.2900","1.05"
"Nov 11, 2016","4.2850","4.2808","4.3030","4.2700","0.25"
"Nov 10, 2016","4.2745","4.2395","4.2745","4.2395","1.12"
"Nov 09, 2016","4.2270","4.1980","4.2360","4.1780","0.58"
"Nov 08, 2016","4.2025","4.2105","4.2125","4.2005","-0.17"
"Nov 07, 2016","4.2095","4.1985","4.2145","4.1985","0.24"
"Nov 04, 2016","4.1995","4.1905","4.2025","4.1905","0.29"
"Nov 03, 2016","4.1875","4.1855","4.1925","4.1790","-0.01"
"Nov 02, 2016","4.1880","4.1820","4.2015","4.1820","0.16"
"Nov 01, 2016","4.1815","4.2045","4.2045","4.1815","-0.32"
"Oct 31, 2016","4.1950","4.2050","4.2150","4.1940","-0.11"
"Oct 28, 2016","4.1995","4.1875","4.2035","4.1875","0.36"
"Oct 27, 2016","4.1845","4.1625","4.1865","4.1625","0.54"
"Oct 26, 2016","4.1620","4.1530","4.1630","4.1460","0.11"
"Oct 25, 2016","4.1575","4.1755","4.1805","4.1555","-0.48"
"Oct 24, 2016","4.1775","4.1775","4.1915","4.1685","-0.20"
"Oct 21, 2016","4.1860","4.1830","4.2000","4.1830","0.04"
"Oct 20, 2016","4.1845","4.1915","4.1915","4.1735","-0.19"
"Oct 19, 2016","4.1925","4.1955","4.1965","4.1825","-0.34"
"Oct 18, 2016","4.2070","4.2120","4.2130","4.1930","-0.25"
"Oct 17, 2016","4.2175","4.2075","4.2225","4.2075","0.38"
"Oct 14, 2016","4.2015","4.2075","4.2205","4.1955","-0.30"
"Oct 13, 2016","4.2140","4.1970","4.2240","4.1910","0.45"
"Oct 12, 2016","4.1950","4.1800","4.2020","4.1800","0.54"
"Oct 11, 2016","4.1725","4.1475","4.1785","4.1305","0.46"
"Oct 10, 2016","4.1535","4.1525","4.1555","4.1445","-0.10"
"Oct 07, 2016","4.1575","4.1495","4.1575","4.1435","0.34"
"Oct 06, 2016","4.1435","4.1400","4.1435","4.1335","0.12"
"Oct 05, 2016","4.1385","4.1385","4.1475","4.1375","0.27"
"Oct 04, 2016","4.1275","4.1335","4.1435","4.1025","-0.19"
"Oct 03, 2016","4.1355","4.1355","4.1355","4.1355","0.00"
"Sep 30, 2016","4.1355","4.1365","4.1515","4.1345","0.27"
"Sep 29, 2016","4.1245","4.1295","4.1340","4.1025","-0.34"
"Sep 28, 2016","4.1385","4.1355","4.1450","4.1285","0.34"
"Sep 27, 2016","4.1245","4.1325","4.1425","4.1144","-0.11"
"Sep 26, 2016","4.1290","4.1180","4.1410","4.1180","0.38"
"Sep 23, 2016","4.1135","4.1135","4.1235","4.1055","0.12"
"Sep 22, 2016","4.1085","4.1275","4.1275","4.0995","-0.74"
"Sep 21, 2016","4.1390","4.1360","4.1620","4.1340","0.00"
"Sep 20, 2016","4.1390","4.1400","4.1460","4.1300","0.07"
"Sep 19, 2016","4.1360","4.1340","4.1490","4.1280","-0.10"
"Sep 16, 2016","4.1400","4.1400","4.1400","4.1400","0.00"
"Sep 15, 2016","4.1400","4.1280","4.1530","4.1230","0.40"
"Sep 14, 2016","4.1235","4.1125","4.1380","4.1125","0.39"
"Sep 13, 2016","4.1075","4.0725","4.1185","4.0725","0.92"
"Sep 12, 2016","4.0700","4.0700","4.0700","4.0700","0.00"
"Sep 09, 2016","4.0700","4.0475","4.0735","4.0475","0.68"
"Sep 08, 2016","4.0425","4.0475","4.0665","4.0355","-0.38"
"Sep 07, 2016","4.0580","4.0780","4.0780","4.0530","-0.58"
"Sep 06, 2016","4.0815","4.0715","4.0835","4.0625","0.27"
"Sep 05, 2016","4.0705","4.0835","4.0905","4.0575","-0.39"
"Sep 02, 2016","4.0865","4.0775","4.0930","4.0775","0.25"
"Sep 01, 2016","4.0765","4.0535","4.0815","4.0535","0.64"
"Aug 31, 2016","4.0505","4.0505","4.0505","4.0505","0.00"
"Aug 30, 2016","4.0505","4.0365","4.0585","4.0335","0.13"
"Aug 29, 2016","4.0453","4.0227","4.0512","4.0227","0.72"
"Aug 26, 2016","4.0165","4.0185","4.0255","4.0135","0.04"
"Aug 25, 2016","4.0150","4.0350","4.0490","4.0150","-0.58"
"Aug 24, 2016","4.0385","4.0355","4.0445","4.0275","0.21"
"Aug 23, 2016","4.0300","4.0320","4.0340","4.0230","0.17"
"Aug 22, 2016","4.0230","4.0080","4.0415","4.0080","0.24"
"Aug 19, 2016","4.0135","3.9880","4.0190","3.9880","0.48"
"Aug 18, 2016","3.9945","4.0020","4.0020","3.9870","-0.49"
"Aug 17, 2016","4.0140","3.9895","4.0185","3.9850","0.72"
"Aug 16, 2016","3.9855","3.9975","4.0075","3.9855","-0.55"
"Aug 15, 2016","4.0075","4.0165","4.0375","4.0025","-0.52"
"Aug 12, 2016","4.0285","3.9965","4.0305","3.9925","0.60"
"Aug 11, 2016","4.0045","4.0025","4.0220","3.9925","0.34"
"Aug 10, 2016","3.9910","4.0250","4.0250","3.9900","-0.97"
"Aug 09, 2016","4.0300","4.0320","4.0440","4.0265","-0.19"
"Aug 08, 2016","4.0375","4.0355","4.0595","4.0275","0.25"
"Aug 05, 2016","4.0275","4.0475","4.0475","4.0225","-0.59"
"Aug 04, 2016","4.0515","4.0625","4.0625","4.0395","-0.22"
"Aug 03, 2016","4.0605","4.0415","4.0725","4.0415","0.63"
"Aug 02, 2016","4.0350","4.0300","4.0610","4.0300","0.25"
"Aug 01, 2016","4.0250","4.0735","4.0735","4.0175","-1.12"
"Jul 29, 2016","4.0705","4.0585","4.0835","4.0435","0.52"
"Jul 28, 2016","4.0495","4.0625","4.0680","4.0455","-0.70"
"Jul 27, 2016","4.0780","4.0645","4.0885","4.0545","0.39"
"Jul 26, 2016","4.0620","4.0840","4.0890","4.0555","-0.10"
"Jul 25, 2016","4.0660","4.0690","4.0900","4.0640","0.23"
"Jul 22, 2016","4.0565","4.0510","4.0730","4.0380","0.40"
"Jul 21, 2016","4.0405","4.0375","4.0625","4.0265","0.34"
"Jul 20, 2016","4.0270","4.0080","4.0430","4.0080","0.57"
"Jul 19, 2016","4.0040","3.9820","4.0090","3.9740","0.67"
"Jul 18, 2016","3.9775","3.9555","3.9860","3.9555","0.76"
"Jul 15, 2016","3.9475","3.9420","3.9720","3.9375","-0.19"
"Jul 14, 2016","3.9550","3.9700","3.9750","3.9400","-0.45"
"Jul 13, 2016","3.9730","3.9700","4.0030","3.9680","0.20"
"Jul 12, 2016","3.9650","3.9970","4.0130","3.9650","-0.81"
"Jul 11, 2016","3.9975","4.0225","4.0225","3.9825","-0.87"
"Jul 08, 2016","4.0325","4.0165","4.0475","4.0165","0.19"
"Jul 07, 2016","4.0250","4.0250","4.0250","4.0250","0.00"
"Jul 06, 2016","4.0250","4.0250","4.0250","4.0250","0.00"
"Jul 05, 2016","4.0250","3.9950","4.0250","3.9900","0.74"
"Jul 04, 2016","3.9955","3.9905","4.0065","3.9825","-0.08"
"Jul 01, 2016","3.9985","4.0175","4.0175","3.9845","-0.72"
"Jun 30, 2016","4.0275","4.0255","4.0425","4.0075","-0.21"
"Jun 29, 2016","4.0360","4.0580","4.0720","4.0360","-0.96"
"Jun 28, 2016","4.0750","4.1050","4.1190","4.0690","-0.73"
"Jun 27, 2016","4.1050","4.1040","4.1360","4.0850","0.24"
"Jun 24, 2016","4.0950","4.0170","4.1251","3.9750","1.90"
"Jun 23, 2016","4.0185","4.0355","4.0355","4.0075","-0.37"
"Jun 22, 2016","4.0335","4.0335","4.0335","4.0335","0.00"
"Jun 21, 2016","4.0335","4.0565","4.0665","4.0315","-0.80"
"Jun 20, 2016","4.0660","4.1010","4.1010","4.0640","-0.85"
"Jun 17, 2016","4.1010","4.0930","4.1130","4.0900","-0.04"
"Jun 16, 2016","4.1025","4.0885","4.1025","4.0835","0.04"
"Jun 15, 2016","4.1010","4.1025","4.1160","4.0940","-0.10"
"Jun 14, 2016","4.1050","4.0865","4.1080","4.0720","0.40"
"Jun 13, 2016","4.0885","4.0725","4.1085","4.0725","0.50"
"Jun 10, 2016","4.0680","4.0540","4.0830","4.0540","0.51"
"Jun 09, 2016","4.0475","4.0525","4.0525","4.0255","-0.37"
"Jun 08, 2016","4.0625","4.0575","4.0705","4.0565","0.11"
"Jun 07, 2016","4.0580","4.0860","4.0970","4.0570","-0.99"
"Jun 06, 2016","4.0985","4.1435","4.1435","4.0835","-1.18"
"Jun 03, 2016","4.1475","4.1485","4.1565","4.1395","-0.10"
"Jun 02, 2016","4.1515","4.1485","4.1755","4.1355","0.14"
"Jun 01, 2016","4.1455","4.1255","4.1525","4.1105","0.46"
"May 31, 2016","4.1265","4.1180","4.1385","4.1035","0.22"
"May 30, 2016","4.1175","4.0825","4.1195","4.0825","0.94"
"May 27, 2016","4.0790","4.0730","4.0870","4.0630","-0.06"
"May 26, 2016","4.0815","4.0915","4.0915","4.0785","-0.54"
"May 25, 2016","4.1035","4.1175","4.1225","4.0965","-0.47"
"May 24, 2016","4.1230","4.0880","4.1320","4.0730","0.88"
"May 23, 2016","4.0870","4.0810","4.0880","4.0660","0.15"
"May 20, 2016","4.0810","4.0810","4.0880","4.0680","0.01"
"May 19, 2016","4.0805","4.0565","4.0905","4.0565","0.82"
"May 18, 2016","4.0475","4.0220","4.0525","4.0220","0.72"
"May 17, 2016","4.0185","4.0175","4.0275","4.0095","-0.25"
"May 16, 2016","4.0285","4.0365","4.0460","4.0235","-0.01"
"May 13, 2016","4.0290","4.0270","4.0390","4.0170","0.22"
"May 12, 2016","4.0200","4.0280","4.0360","4.0030","-0.37"
"May 11, 2016","4.0350","4.0420","4.0580","4.0340","-0.48"
"May 10, 2016","4.0545","4.0215","4.0615","4.0215","1.03"
"May 09, 2016","4.0130","4.0100","4.0170","3.9930","0.12"
"May 06, 2016","4.0080","4.0070","4.0140","4.0010","0.06"
"May 05, 2016","4.0055","3.9985","4.0135","3.9935","0.38"
"May 04, 2016","3.9905","3.9165","3.9945","3.9165","1.51"
"May 03, 2016","3.9310","3.9120","3.9340","3.9000","0.63"
"May 02, 2016","3.9065","3.9065","3.9065","3.9065","0.00"
"Apr 29, 2016","3.9065","3.8985","3.9140","3.8805","0.36"
"Apr 28, 2016","3.8925","3.9075","3.9175","3.8875","-0.51"
"Apr 27, 2016","3.9125","3.9125","3.9415","3.9025","-0.27"
"Apr 26, 2016","3.9230","3.9110","3.9525","3.8910","0.46"
"Apr 25, 2016","3.9050","3.9020","3.9220","3.8870","-0.06"
"Apr 24, 2016","3.9073","3.9073","3.9073","3.9073","0.23"
"Apr 22, 2016","3.8985","3.8925","3.9125","3.8905","0.21"
"Apr 21, 2016","3.8905","3.8775","3.9015","3.8695","0.66"
"Apr 20, 2016","3.8650","3.8780","3.8810","3.8530","-0.50"
"Apr 19, 2016","3.8845","3.9125","3.9275","3.8765","-1.09"
"Apr 18, 2016","3.9275","3.8915","3.9525","3.8915","0.51"
"Apr 15, 2016","3.9075","3.8875","3.9175","3.8875","0.33"
"Apr 14, 2016","3.8945","3.8875","3.9205","3.8795","0.57"
"Apr 13, 2016","3.8725","3.8725","3.8785","3.8455","-0.21"
"Apr 12, 2016","3.8805","3.8855","3.8940","3.8735","-0.24"
"Apr 11, 2016","3.8900","3.8930","3.9000","3.8750","-0.32"
"Apr 08, 2016","3.9025","3.9225","3.9505","3.8965","-0.31"
"Apr 07, 2016","3.9145","3.9085","3.9165","3.8735","-0.06"
"Apr 06, 2016","3.9170","3.9230","3.9325","3.8980","-0.20"
"Apr 05, 2016","3.9250","3.9090","3.9360","3.9038","0.50"
"Apr 04, 2016","3.9055","3.8885","3.9055","3.8635","0.35"
"Apr 01, 2016","3.8920","3.8980","3.9080","3.8850","-0.31"
"Mar 31, 2016","3.9040","3.9330","3.9360","3.8940","-0.96"
"Mar 30, 2016","3.9420","3.9940","3.9940","3.9290","-1.40"
"Mar 29, 2016","3.9980","4.0155","4.0195","3.9925","-0.39"
"Mar 28, 2016","4.0135","4.0375","4.0405","4.0075","-0.61"
"Mar 25, 2016","4.0380","4.0350","4.0510","4.0180","0.19"
"Mar 24, 2016","4.0305","3.9965","4.0415","3.9965","0.85"
"Mar 23, 2016","3.9965","4.0085","4.0135","3.9585","-0.16"
"Mar 22, 2016","4.0030","4.0710","4.0710","3.9905","-1.45"
"Mar 21, 2016","4.0620","4.0565","4.0795","4.0565","0.30"
"Mar 18, 2016","4.0500","4.0535","4.0665","4.0335","-0.23"
"Mar 17, 2016","4.0595","4.1310","4.1310","4.0595","-1.87"
"Mar 16, 2016","4.1370","4.1370","4.1460","4.1300","0.06"
"Mar 15, 2016","4.1345","4.1095","4.1405","4.0945","0.74"
"Mar 14, 2016","4.1040","4.0950","4.1085","4.0770","0.38"
"Mar 11, 2016","4.0885","4.0975","4.1240","4.0855","-0.11"
"Mar 10, 2016","4.0930","4.1130","4.1280","4.0930","-0.74"
"Mar 09, 2016","4.1235","4.1175","4.1445","4.1175","0.23"
"Mar 08, 2016","4.1140","4.0790","4.1215","4.0740","0.71"
"Mar 07, 2016","4.0850","4.1320","4.1320","4.0780","-0.74"
"Mar 04, 2016","4.1155","4.1245","4.1495","4.1145","-0.46"
"Mar 03, 2016","4.1345","4.1545","4.1545","4.1273","-0.73"
"Mar 02, 2016","4.1650","4.1600","4.1700","4.1485","-0.08"
"Mar 01, 2016","4.1685","4.1985","4.1995","4.1635","-0.87"
"Feb 29, 2016","4.2050","4.2200","4.2350","4.2030","-0.15"
"Feb 26, 2016","4.2115","4.2100","4.2345","4.1885","-0.19"
"Feb 25, 2016","4.2195","4.2170","4.2245","4.1935","0.05"
"Feb 24, 2016","4.2175","4.1945","4.2470","4.1945","0.40"
"Feb 23, 2016","4.2005","4.1875","4.2095","4.1625","0.10"
"Feb 22, 2016","4.1965","4.2075","4.2155","4.1960","-0.25"
"Feb 19, 2016","4.2070","4.1690","4.2330","4.1690","1.01"
