"Date","Price","Open","High","Low","Change %"
"Dec 29, 2017","13,567.5","13,542.5","13,567.5","13,542.5","0.04"
"Dec 28, 2017","13,562.0","13,554.0","13,566.0","13,554.0","0.01"
"Dec 27, 2017","13,560.5","13,551.5","13,565.5","13,551.5","-0.00"
"Dec 26, 2017","13,561.0","13,561.0","13,561.0","13,561.0","0.00"
"Dec 25, 2017","13,561.0","13,561.0","13,561.0","13,561.0","0.00"
"Dec 22, 2017","13,561.0","13,556.0","13,562.0","13,546.0","0.03"
"Dec 21, 2017","13,557.5","13,542.5","13,567.5","13,537.5","-0.15"
"Dec 20, 2017","13,577.5","13,577.5","13,584.5","13,577.5","0.01"
"Dec 19, 2017","13,576.5","13,576.5","13,588.5","13,574.5","-0.04"
"Dec 18, 2017","13,581.5","13,571.5","13,588.5","13,571.5","0.02"
"Dec 15, 2017","13,578.5","13,566.5","13,578.5","13,563.5","0.01"
"Dec 14, 2017","13,577.5","13,562.5","13,580.5","13,560.5","-0.06"
"Dec 13, 2017","13,585.0","13,595.0","13,596.0","13,585.0","0.12"
"Dec 12, 2017","13,568.5","13,549.5","13,571.5","13,546.5","0.12"
"Dec 11, 2017","13,552.5","13,542.5","13,552.5","13,542.5","0.04"
"Dec 08, 2017","13,547.5","13,557.5","13,560.5","13,539.5","-0.04"
"Dec 07, 2017","13,553.5","13,548.5","13,558.5","13,547.5","0.11"
"Dec 06, 2017","13,539.0","13,521.0","13,539.0","13,516.0","0.15"
"Dec 05, 2017","13,519.0","13,511.0","13,520.0","13,511.0","-0.05"
"Dec 04, 2017","13,526.0","13,531.0","13,533.0","13,516.0","0.00"
"Dec 01, 2017","13,526.0","13,526.0","13,526.0","13,526.0","0.00"
"Nov 30, 2017","13,526.0","13,512.0","13,526.0","13,512.0","0.17"
"Nov 29, 2017","13,502.5","13,510.5","13,517.5","13,495.5","-0.04"
"Nov 28, 2017","13,508.5","13,528.5","13,530.5","13,503.5","-0.07"
"Nov 27, 2017","13,518.5","13,504.5","13,521.5","13,504.5","0.12"
"Nov 24, 2017","13,502.5","13,507.5","13,513.5","13,500.5","-0.08"
"Nov 23, 2017","13,513.0","13,507.0","13,517.0","13,492.0","-0.10"
"Nov 22, 2017","13,526.0","13,518.0","13,527.0","13,511.0","-0.06"
"Nov 21, 2017","13,533.5","13,531.5","13,546.5","13,531.5","-0.01"
"Nov 20, 2017","13,535.0","13,522.0","13,537.0","13,517.0","0.06"
"Nov 17, 2017","13,527.5","13,522.5","13,530.5","13,512.5","-0.11"
"Nov 16, 2017","13,542.0","13,542.0","13,549.0","13,532.0","0.05"
"Nov 15, 2017","13,535.0","13,542.0","13,547.0","13,527.0","-0.14"
"Nov 14, 2017","13,553.5","13,546.5","13,555.5","13,528.5","0.01"
"Nov 13, 2017","13,551.5","13,551.5","13,558.5","13,545.5","0.14"
"Nov 10, 2017","13,532.5","13,507.5","13,537.5","13,507.5","0.13"
"Nov 09, 2017","13,515.0","13,518.0","13,520.0","13,509.0","-0.01"
"Nov 08, 2017","13,517.0","13,522.0","13,530.0","13,515.0","0.03"
"Nov 07, 2017","13,513.5","13,496.5","13,514.5","13,491.5","-0.08"
"Nov 06, 2017","13,524.5","13,531.5","13,539.5","13,516.5","0.20"
"Nov 03, 2017","13,497.5","13,517.5","13,517.5","13,467.5","-0.39"
"Nov 02, 2017","13,551.0","13,571.0","13,576.0","13,541.0","-0.21"
