"Date","Price","Open","High","Low","Change %"
"Dec 29, 2017","1.3375","1.3377","1.3384","1.3352","-0.01"
"Dec 28, 2017","1.3377","1.3398","1.3409","1.3368","-0.16"
"Dec 27, 2017","1.3398","1.3435","1.3438","1.3384","-0.27"
"Dec 26, 2017","1.3434","1.3440","1.3446","1.3427","-0.04"
"Dec 25, 2017","1.3440","1.3438","1.3445","1.3430","0.01"
"Dec 22, 2017","1.3439","1.3436","1.3458","1.3434","0.01"
"Dec 21, 2017","1.3438","1.3443","1.3466","1.3432","-0.01"
"Dec 20, 2017","1.3439","1.3464","1.3476","1.3432","-0.20"
"Dec 19, 2017","1.3466","1.3473","1.3486","1.3459","-0.06"
"Dec 18, 2017","1.3474","1.3483","1.3498","1.3460","-0.07"
"Dec 15, 2017","1.3484","1.3456","1.3492","1.3450","0.19"
"Dec 14, 2017","1.3458","1.3466","1.3486","1.3440","-0.05"
"Dec 13, 2017","1.3465","1.3522","1.3535","1.3460","-0.41"
"Dec 12, 2017","1.3521","1.3515","1.3540","1.3503","0.04"
"Dec 11, 2017","1.3516","1.3526","1.3533","1.3500","-0.04"
"Dec 08, 2017","1.3522","1.3517","1.3540","1.3506","0.04"
"Dec 07, 2017","1.3516","1.3490","1.3517","1.3476","0.18"
"Dec 06, 2017","1.3492","1.3471","1.3499","1.3461","0.14"
"Dec 05, 2017","1.3473","1.3475","1.3484","1.3450","-0.02"
"Dec 04, 2017","1.3476","1.3469","1.3504","1.3461","0.06"
"Dec 01, 2017","1.3468","1.3486","1.3497","1.3418","-0.13"
"Nov 30, 2017","1.3486","1.3471","1.3510","1.3459","0.10"
"Nov 29, 2017","1.3472","1.3461","1.3479","1.3438","0.08"
"Nov 28, 2017","1.3461","1.3466","1.3478","1.3438","-0.04"
"Nov 27, 2017","1.3467","1.3458","1.3483","1.3433","0.10"
"Nov 24, 2017","1.3454","1.3455","1.3478","1.3444","0.00"
"Nov 23, 2017","1.3454","1.3471","1.3487","1.3446","-0.12"
"Nov 22, 2017","1.3470","1.3541","1.3552","1.3464","-0.55"
"Nov 21, 2017","1.3544","1.3570","1.3581","1.3531","-0.18"
"Nov 20, 2017","1.3569","1.3554","1.3581","1.3542","0.11"
"Nov 17, 2017","1.3554","1.3562","1.3579","1.3531","-0.07"
"Nov 16, 2017","1.3564","1.3566","1.3579","1.3547","-0.02"
"Nov 15, 2017","1.3567","1.3591","1.3602","1.3530","-0.18"
"Nov 14, 2017","1.3591","1.3619","1.3632","1.3582","-0.21"
"Nov 13, 2017","1.3619","1.3599","1.3625","1.3597","0.12"
